000,United States
001,New England & New Jersey
002,Maine
003,New Hampshire
004,Vermont
005,Massachusetts
006,Rhode Island
007,Connecticut
008,New Jersey
010,North Mid-Atlantic States
011,New York
014,Pennsylvania
017,Delaware
020,South Mid-Atlantic States
021,Maryland
022,District of Columbia
023,Virginia
024,West Virginia
025,North Carolina
026,South Carolina
030,Southeastern States
031,Tennessee
033,Georgia (U.S.)
035,Florida
037,Alabama
039,Mississippi
040,North Central States
041,Michigan
043,Ohio
045,Indiana
047,Kentucky
050,Northern Midwest States
051,Wisconsin
052,Minnesota
053,Iowa
054,North Dakota
055,South Dakota
056,Montana
060,Central Midwest States
061,Illinois
063,Missouri
065,Kansas
067,Nebraska
070,Southern Midwest States
071,Arkansas
073,Louisiana
075,Oklahoma
077,Texas
080,Mountain States
081,Idaho
082,Wyoming
083,Colorado
084,Utah
085,Nevada
086,New Mexico
087,Arizona
090,Pacific Coast States
091,Alaska
093,Washington (state)
095,Oregon
097,California
099,Hawaii
100,Atlantic/Caribbean Area
101,Puerto Rico
102,U.S. Virgin Islands
109,Other Atlantic/Caribbean Area
110,Canal Zone
120,Pacific Area
121,American Samoa
122,"Kiribati (Canton, Enderbury, Gilbert, Southern Line, Phoenix Islands)"
123,Federated States of Micronesia (Caroline Islands)
124,Cook Islands
125,Tuvalu (Ellice Islands)
126,Guam
127,Johnston Atoll
129,Northern Mariana Islands
131,Marshall Islands
132,Midway Islands/Atoll
133,Nampo-Shoto/Southern Islands
134,Ryukyu Islands (Japan)
135,Swan Islands
136,Tokelau Islands (New Zealand)
137,Wake Island
139,Palau
141,Other Pacific Area
210,Greenland
220,Canada
221,"Maritime provs, Labrador, NB, NL, NS, PE"
222,Quebec
223,Ontario
224,"Prairie provs, AB, MB, SK"
225,"Northwest Territory, Yukon Territory"
226,British Columbia
227,Nunavut
230,Mexico
240,North American Islands (Historic)
241,Cuba
242,Haiti
243,Dominican Republic
244,Jamaica
245,Other Caribbean Islands (Historic)
246,Bermuda
247,Bahamas
249,St. Pierre and Miquelon
250,Central America
251,Guatamala
252,Belize
253,Honduras
254,El Salvador
255,Nicaragua
256,Costa Rica
257,Panama
260,"North America, NOS"
265,"Latin America, NOS"
300,"South America, NOS"
311,Colombia
321,Venezuela
331,Guyana
332,Suriname
333,French Guiana
341,Brazil
345,Ecuador & Galapagos Islands
351,Peru
355,Bolivia
361,Chile
365,Argentina
